i,comhash,comhash0
1117, 18, 115
1118, 14, 132
1119, 233, 106
1120, 0, 117
1121, 466, 159
1122, 44, 109
1123, 283, 119
1124, 12, 117
1125, 60, 120
1126, 3, 116
1127, 2, 125
1128, 6, 104
1129, 48, 129
1130, 26, 129
1131, 3, 121
1132, 33, 110
1133, 9, 133
1134, 14, 111
1135, 241, 115
1136, 1, 136
1137, 485, 127
1138, 57, 153
1139, 242, 131
1140, 21, 116
1141, 54, 156
1142, 2, 156
1143, 2, 148
1144, 4, 129
1145, 56, 164
1146, 17, 135
1147, 2, 166
1148, 23, 156
1149, 10, 159
1150, 8, 153
1151, 248, 161
1152, 0, 159
1153, 465, 159
1154, 41, 174
1155, 255, 163
1156, 7, 135
1157, 38, 191
1158, 2, 143
1159, 4, 168
1160, 5, 153
1161, 61, 148
1162, 32, 162
1163, 7, 187
1164, 27, 151
1165, 15, 156
1166, 27, 161
1167, 264, 169
1168, 0, 201
1169, 511, 187
1170, 46, 169
1171, 232, 141
1172, 7, 174
1173, 67, 193
1174, 0, 196
1175, 3, 175
1176, 9, 178
1177, 42, 209
1178, 28, 199
1179, 6, 167
1180, 20, 177
1181, 13, 191
1182, 18, 219
1183, 254, 200
1184, 0, 181
1185, 411, 196
1186, 31, 202
1187, 268, 168
1188, 9, 190
1189, 49, 195
1190, 5, 185
1191, 5, 206
1192, 5, 211
1193, 42, 195
1194, 19, 186
1195, 8, 180
1196, 22, 190
1197, 10, 179
1198, 11, 208
1199, 256, 176
1200, 0, 225
1201, 393, 210
1202, 47, 205
1203, 271, 219
1204, 14, 191
1205, 46, 192
1206, 2, 180
1207, 5, 180
1208, 3, 191
1209, 41, 177
1210, 19, 188
1211, 6, 187
1212, 29, 178
1213, 8, 184
1214, 21, 192
1215, 249, 184
1216, 0, 202
1217, 448, 193
1218, 38, 207
1219, 261, 202
1220, 14, 193
1221, 54, 166
1222, 4, 200
1223, 5, 177
1224, 0, 178
1225, 47, 173
1226, 21, 204
1227, 4, 180
1228, 22, 220
1229, 8, 198
1230, 22, 212
1231, 253, 216
1232, 1, 207
1233, 431, 236
1234, 61, 229
1235, 257, 199
1236, 11, 206
1237, 41, 233
1238, 0, 211
1239, 6, 256
1240, 2, 250
1241, 36, 256
1242, 21, 235
1243, 2, 282
1244, 32, 242
1245, 4, 268
1246, 17, 246
1247, 232, 316
1248, 0, 290
1249, 420, 273
1250, 48, 291
1251, 302, 306
1252, 11, 312
1253, 51, 243
1254, 5, 316
1255, 0, 306
1256, 1, 319
1257, 52, 324
1258, 17, 277
1259, 2, 292
1260, 23, 337
1261, 8, 345
1262, 31, 318
1263, 260, 294
1264, 0, 362
1265, 418, 333
1266, 46, 325
1267, 271, 303
1268, 9, 350
1269, 44, 350
1270, 3, 335
1271, 3, 331
1272, 3, 317
1273, 55, 356
1274, 19, 298
1275, 4, 306
1276, 19, 303
1277, 5, 320
1278, 17, 323
1279, 236, 333
1280, 1, 346
1281, 438, 347
1282, 52, 343
1283, 259, 318
1284, 5, 290
1285, 45, 285
1286, 0, 308
1287, 2, 304
1288, 8, 347
1289, 66, 308
1290, 38, 311
1291, 6, 351
1292, 29, 308
1293, 9, 320
1294, 18, 317
1295, 217, 319
1296, 0, 300
1297, 405, 306
1298, 42, 273
1299, 273, 318
1300, 6, 262
1301, 48, 273
1302, 0, 309
1303, 1, 292
1304, 3, 296
1305, 54, 312
1306, 20, 281
1307, 2, 316
1308, 14, 312
1309, 12, 330
1310, 7, 337
1311, 281, 329
1312, 0, 337
1313, 413, 330
1314, 57, 335
1315, 267, 340
1316, 14, 312
1317, 44, 380
1318, 0, 383
1319, 1, 357
1320, 7, 413
1321, 53, 383
1322, 23, 389
1323, 2, 393
1324, 17, 428
1325, 9, 412
1326, 21, 421
1327, 229, 401
1328, 0, 391
1329, 468, 412
1330, 49, 452
1331, 281, 493
1332, 4, 484
1333, 41, 451
1334, 0, 460
1335, 0, 482
1336, 10, 461
1337, 51, 436
1338, 40, 437
1339, 6, 490
1340, 15, 579
